"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score","Purpose_G"
"3041",100,35,2,1,3,3,5,"2,3,4",5,2,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,2,2,2,2,4,4,5,4,3,4,2,3,4,3,4,5,3,4,3,4,3,4,3,5,5,3,3,3,4,3,4,5,6,5,3,3,3,4,48,21,35,28,51,132,5
"3051",100,35,2,1,1,4,7,"4,6,8",3,2,4,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,3,2,3,3,2,3,3,4,4,4,5,5,4,5,4,5,4,5,5,5,3,4,4,4,4,5,4,5,4,5,3,4,4,5,4,5,4,4,3,4,54,24,42,29,49,149,6
"3061",100,28,2,4,4,2,2,"1,2,4,5,9",3,2,3,2,2,3,3,2,2,3,1,1,2,1,2,2,1,2,2,2,2,2,6,6,6,5,5,1,6,7,7,6,5,5,6,6,5,6,6,6,3,5,5,6,6,6,6,5,6,6,3,5,6,6,5,5,6,5,71,36,52,36,40,195,7
"3071",100,35,2,1,2,3,6,"3,4,7",5,2,4,2,2,3,2,2,3,2,2,3,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,3,5,5,5,5,4,3,4,5,4,4,3,4,4,4,4,5,4,5,3,3,4,4,3,4,50,21,38,30,51,139,7
"3081",100,36,2,1,4,4,4,"3,4,6,7",4,2,2,2,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,4,5,5,4,3,3,4,5,4,3,2,2,3,4,5,5,4,3,1,4,3,4,5,5,4,4,4,4,3,2,3,4,5,48,19,39,26,44,132,7
"3091",100,24,2,1,4,2,6,"1,2,3,4,5,6,8,9",4,2,2,4,2,3,1,2,2,3,1,2,3,2,3,3,2,2,1,3,1,2,4,2,2,4,2,1,3,3,3,6,6,5,4,2,4,2,2,3,2,2,2,2,6,5,3,2,6,6,5,7,1,5,6,7,6,5,32,24,43,37,44,136,7
"310",100,26,2,1,4,2,1,"2,4,5,9",5,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,3,2,1,1,5,2,4,5,5,5,5,6,3,5,2,4,6,5,5,5,5,5,4,2,3,4,4,6,5,2,5,4,2,3,5,5,5,6,3,4,60,24,44,26,32,154,7
"311",100,28,2,1,4,1,1,"1,2,4,5,9",6,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,3,3,1,2,4,3,4,5,4,5,5,5,3,4,2,5,6,3,5,5,5,5,5,2,3,5,3,6,5,3,5,5,3,4,5,5,5,6,3,3,58,25,42,29,37,154,7
"3121",100,41,2,4,3,1,5,"4,5,8,9",5,2,2,3,2,2,2,2,1,2,1,2,2,2,2,2,1,3,3,2,1,2,5,2,5,5,3,5,6,6,5,5,5,4,5,6,6,6,6,6,5,2,4,6,4,6,5,2,5,3,2,3,5,5,5,5,3,4,67,26,47,25,39,165,6
"313",100,29,2,1,2,2,1,"1,2,7",2,2,1,3,2,3,2,2,2,3,2,1,2,2,2,2,3,3,2,2,2,1,6,3,4,3,4,4,5,5,4,5,2,2,5,5,4,4,5,5,5,4,3,4,4,6,5,5,5,2,2,2,4,5,4,5,2,3,61,24,36,24,42,145,4
"314",100,23,1,4,3,2,1,"3,4,5,6,8,9",5,2,2,3,2,3,1,2,3,3,2,3,3,3,3,3,3,3,1,3,3,3,6,6,6,5,5,6,6,6,6,5,4,4,5,6,6,6,6,4,6,3,6,6,5,6,5,3,5,5,3,5,6,6,4,6,4,4,72,32,51,31,52,186,7
"315",100,31,2,1,4,1,1,"1,2,5,9",5,2,2,2,3,2,2,3,3,2,2,3,3,2,3,2,2,3,4,3,1,2,5,4,5,4,6,5,6,4,5,6,5,4,6,5,4,5,6,5,6,5,6,5,6,4,5,6,5,6,4,5,4,6,5,6,5,6,67,29,53,36,49,185,7
"316",100,52,2,1,3,1,4,"2,4,5,8,9",5,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,4,3,4,3,4,5,5,6,2,3,2,4,6,4,5,5,5,6,3,1,2,6,3,5,3,2,6,3,3,3,5,5,5,5,3,2,57,23,35,26,27,141,7
"317",100,28,2,4,2,2,1,"2,3,4,5,6,7,8,9",4,2,2,2,3,2,2,3,3,4,2,1,3,4,2,3,3,2,2,3,3,2,6,3,5,6,4,5,6,5,6,5,6,3,6,4,6,5,6,4,5,4,6,5,4,5,6,5,6,5,6,4,5,4,6,5,6,4,67,29,51,35,51,182,7
"318",100,33,2,1,5,1,1,"2,4,5,6,8,9",6,2,1,2,3,2,2,1,3,2,2,3,3,2,3,2,2,1,2,3,3,2,6,5,4,6,6,3,4,5,6,4,5,4,6,5,4,5,4,6,5,6,5,6,5,4,5,4,6,5,6,4,6,5,4,5,4,5,65,29,48,36,44,178,7
"319",100,36,2,1,5,1,1,"1,2,4,5,7,8,9",6,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,3,2,1,1,5,2,4,5,4,5,5,5,2,5,2,5,6,5,5,5,5,6,3,1,2,5,3,6,5,1,4,5,2,3,3,3,4,6,4,4,55,25,43,22,30,145,7
"320",100,23,2,1,1,2,6,"1,2,5,8,9",5,2,2,4,2,3,3,1,3,2,1,2,2,4,3,4,3,1,3,4,2,1,6,4,5,7,6,4,5,7,6,4,5,2,5,7,6,5,6,5,6,5,6,5,6,5,7,6,5,7,6,5,6,5,6,5,6,5,73,33,52,39,50,197,7
"321",100,29,2,1,4,1,2,"2,3,4,5,9",6,2,1,3,4,3,1,2,2,4,2,3,3,4,3,4,3,2,2,3,3,1,6,5,7,6,5,6,5,6,5,6,5,1,6,7,5,6,5,6,5,3,5,4,3,5,6,5,6,5,6,4,6,5,6,5,6,5,76,29,48,35,53,188,7
"3221",100,35,2,1,5,1,1,"2,4,5,6,9",5,2,1,3,4,3,1,2,4,3,3,2,2,4,3,4,3,2,2,4,2,1,7,5,6,4,5,7,6,5,6,4,6,3,6,5,6,7,5,6,5,7,4,6,5,6,5,6,5,7,6,7,5,6,4,5,7,6,77,34,48,42,53,201,7
"323",100,23,2,1,1,2,6,"1,2,4,5,6,9",6,2,1,3,2,3,1,2,4,2,2,3,4,3,4,3,1,2,4,3,1,2,6,7,5,4,3,6,5,4,6,3,4,2,5,6,5,6,5,6,5,6,5,7,6,4,5,7,6,5,6,5,6,4,5,7,5,6,73,34,44,37,50,188,7
"3241",100,41,2,1,6,1,1,"1,2,4,5,8,9",5,2,1,2,3,2,2,3,4,3,1,2,4,2,4,3,1,2,4,3,1,3,6,4,5,4,6,5,7,6,5,6,4,3,7,4,6,5,7,6,5,6,5,6,5,6,5,6,5,7,6,4,6,7,5,6,5,6,73,31,53,40,50,197,7
"325",100,35,1,4,4,1,1,"2,4,5,6,9",5,2,2,4,3,4,2,1,3,4,2,3,3,2,4,3,1,2,4,3,1,2,5,6,4,7,6,5,6,7,5,7,5,2,4,6,5,7,6,5,6,5,6,5,6,5,7,6,4,5,6,5,6,5,6,5,6,5,72,35,54,36,53,197,7
"3261",100,29,2,1,4,2,1,"9",2,2,1,2,2,3,2,2,2,2,3,1,2,2,2,2,2,3,2,3,1,1,5,3,4,5,4,4,4,5,4,4,3,4,3,4,3,3,3,4,3,3,3,4,3,3,3,3,5,3,3,3,3,3,3,3,3,3,49,19,35,23,40,126,3
"327",100,31,2,1,4,1,1,"1,2,4,5,6,8,9",6,2,2,2,4,3,1,2,4,3,3,2,2,3,2,4,2,1,3,4,2,1,6,5,7,4,6,5,7,4,5,4,6,3,6,5,7,6,5,6,5,4,5,6,4,7,5,6,5,6,4,6,5,7,6,5,6,5,73,33,50,38,50,194,7
"3281",100,33,2,4,2,3,1,"2,3,6,8,9",6,2,2,4,3,2,1,2,2,4,2,1,2,3,4,3,1,2,4,3,1,2,5,6,5,6,5,6,5,6,5,7,6,3,6,5,6,4,6,5,3,6,7,5,4,5,6,4,6,5,7,6,5,6,5,6,5,6,64,31,58,41,48,194,7
"3291",100,28,2,4,4,2,1,"1,2,3,4,5,6,8,9",6,2,1,3,4,3,1,2,4,3,3,1,3,4,3,4,2,1,3,4,2,1,6,4,6,5,7,6,4,7,5,6,5,4,6,5,7,6,5,6,5,6,4,5,7,6,7,6,7,5,6,4,5,6,7,5,6,5,73,35,53,41,52,202,7
