"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score"
"55",100,25,2,1,4,1,1,"1,5,8,9",4,2,2,2,4,2,1,2,2,2,2,1,1,1,3,1,2,2,1,1,2,2,7,1,5,4,6,4,3,4,4,5,6,4,6,4,4,6,4,5,3,3,3,4,4,6,5,3,6,4,3,6,5,7,7,7,5,5,59,25,48,36,36,168
"56",100,25,1,1,6,1,2,"3",3,2,3,2,3,2,3,3,2,2,2,3,3,3,3,3,2,3,2,2,2,2,1,2,3,4,5,6,5,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,5,4,5,4,5,4,5,5,52,25,42,31,50,150
"57",100,35,1,4,4,2,1,"2",5,2,3,3,2,4,2,4,4,1,2,3,4,4,2,3,4,1,3,4,1,1,4,2,5,6,5,4,5,4,5,5,6,5,4,5,4,3,4,4,4,4,5,5,4,4,4,4,4,5,3,4,5,4,3,3,3,3,56,22,46,27,55,151
"58",100,36,1,3,3,1,1,"2",4,2,1,4,4,1,2,2,2,3,1,2,1,3,1,4,4,1,2,4,1,2,4,3,5,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,6,3,4,3,5,3,3,4,5,6,5,3,48,25,40,27,45,140
"59",100,20,1,1,4,2,6,"1,6,9",6,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,7,1,4,4,4,2,2,6,5,5,5,4,6,4,6,6,4,4,3,3,3,3,3,6,4,3,7,2,2,7,4,7,7,7,5,4,56,22,46,35,33,159
"60",100,26,2,1,4,2,2,"2",2,2,3,3,2,3,3,3,3,1,2,3,1,2,3,3,3,1,2,3,2,3,5,2,6,4,4,5,2,3,2,5,4,4,6,5,6,3,4,1,1,4,3,5,5,4,2,4,6,3,4,1,3,5,6,5,2,5,46,20,44,29,49,139
"61",100,20,2,3,2,1,5,"1,4,5,8,9",4,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,1,2,1,1,2,2,6,2,4,6,6,2,2,4,6,4,2,4,6,3,6,5,4,6,4,2,4,4,2,5,4,3,6,2,2,4,6,7,7,7,4,4,57,21,47,30,39,155
"62",100,28,1,1,5,1,5,"3",2,2,4,3,4,3,3,2,2,1,2,1,2,1,2,2,2,2,2,3,4,2,3,4,5,5,3,3,4,5,6,2,1,4,6,2,5,4,6,7,3,2,4,2,6,3,1,6,3,6,4,5,5,6,6,3,2,4,59,18,37,32,47,146
"63",100,26,1,1,2,1,1,"2",3,2,1,4,1,3,1,2,1,4,2,4,3,3,3,4,4,2,1,1,2,2,6,3,2,1,3,3,7,3,1,3,3,2,7,3,3,7,3,3,3,6,3,3,3,6,3,3,3,2,3,7,3,3,7,6,3,5,51,21,32,31,48,135
"65",100,24,1,1,4,2,1,"5,6,9",5,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,3,4,5,3,4,5,4,3,4,3,4,6,4,3,3,2,4,5,3,3,5,3,6,5,4,6,3,4,5,6,5,4,4,3,5,56,25,36,30,37,147
"66",100,26,1,1,4,2,2,"1,2,5",4,2,3,3,3,2,1,1,4,2,2,3,3,3,4,2,2,2,1,3,2,2,6,5,3,3,4,4,7,5,5,4,6,3,4,6,2,6,6,5,5,4,5,7,5,4,6,5,6,6,4,6,2,4,5,5,4,3,63,31,41,35,48,170
"67",100,27,1,1,4,1,1,"1,2,4,5,8",5,2,3,3,3,2,2,1,3,3,2,2,1,3,4,3,3,3,3,3,2,1,5,4,6,1,3,3,4,5,4,3,3,3,5,4,3,5,6,6,5,3,4,6,7,2,3,5,5,4,6,5,4,3,6,7,3,4,61,25,37,32,50,155
"68",100,25,1,1,4,2,2,"1",4,2,1,4,2,4,2,1,4,3,3,1,3,3,3,2,3,1,3,2,3,2,3,6,5,4,5,5,5,4,3,5,5,3,6,3,5,7,2,4,5,6,3,4,6,7,2,2,4,5,5,7,2,3,4,6,2,5,54,27,43,34,50,158
"69",100,24,1,1,4,2,1,"4,5,6,9",5,2,2,2,2,3,3,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,3,4,5,4,5,4,4,3,4,5,5,2,4,4,4,5,6,4,4,4,5,5,6,4,4,3,4,5,4,4,3,5,4,4,3,5,50,26,45,30,46,151
"70",100,29,2,1,4,1,4,"1,3,5,6",4,2,2,3,4,2,3,3,3,4,1,2,3,3,3,4,2,2,3,3,1,2,5,4,6,5,7,2,5,6,5,7,5,1,5,7,5,5,7,7,5,5,7,7,6,7,6,7,5,7,5,7,5,7,4,5,7,5,70,37,54,40,53,201
