"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score"
"186",100,35,2,1,4,1,5,"4,5,7,9",2,1,2,2,2,3,2,2,2,1,3,1,3,2,2,2,3,1,2,3,1,2,5,1,1,2,2,1,2,1,1,5,3,6,1,1,2,1,2,2,1,5,1,2,5,4,5,2,5,4,1,5,2,2,4,5,5,5,21,22,33,26,41,102
"187",100,47,1,1,5,1,4,"2,4",6,1,3,1,1,3,2,3,3,2,4,2,3,3,4,2,2,3,1,3,2,2,6,2,1,1,3,1,4,2,1,3,1,2,1,2,2,2,4,3,1,5,2,2,2,2,1,1,6,3,4,3,5,5,5,1,1,1,30,10,20,31,49,91
"188",100,43,2,1,3,1,1,"5,7,8,9",2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,19,6,10,11,23,46
"189",100,30,2,1,5,1,3,"1,3,4,5,7,8,9",5,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,2,1,5,1,5,4,1,1,1,1,1,1,4,1,1,6,5,3,1,6,1,2,1,1,1,1,5,4,5,20,20,26,16,25,82
"190",100,57,2,2,3,3,4,"2,7,9",4,1,1,1,4,1,1,2,3,3,1,2,1,3,1,1,1,2,1,1,1,1,5,1,1,1,1,1,2,1,1,2,2,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,22,7,17,7,32,53
"191",100,36,2,1,6,1,5,"1,2,4,5,9",2,1,3,3,2,3,2,2,3,2,2,3,3,2,2,3,3,2,3,2,3,2,2,1,1,2,5,2,2,1,2,6,4,3,1,2,2,1,1,4,1,5,1,5,4,5,1,1,5,4,5,3,5,5,5,4,5,5,25,21,33,32,50,111
"192",100,46,1,1,5,2,4,"1,2,4,7,8,9",5,1,2,3,4,2,2,3,3,1,2,2,3,3,4,3,1,2,3,3,2,2,1,1,1,2,1,3,3,1,1,3,1,6,2,2,2,1,4,1,2,1,1,6,4,6,1,1,6,2,6,6,5,2,2,2,1,1,24,19,23,25,50,91
"193",100,28,2,1,5,2,4,"9",4,1,2,1,1,3,1,3,3,1,2,1,1,1,1,2,1,1,1,2,1,1,3,1,3,1,1,1,5,4,2,7,3,6,4,1,1,2,1,7,1,1,4,1,7,5,1,1,4,5,1,5,4,5,5,7,7,6,38,22,37,26,30,123
"194",100,43,1,1,5,1,4,"2,7",4,1,3,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,1,2,1,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,4,5,4,5,5,1,24,10,20,26,25,80
"195",100,43,2,1,4,1,1,"2,4,5,7,9",5,1,3,1,1,2,3,3,4,3,1,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,5,1,1,1,4,7,1,7,1,1,1,1,1,4,1,6,4,5,1,4,1,1,7,1,7,1,7,1,4,1,1,1,25,13,29,27,36,94
